"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,182,"PRT","Portugal",1,"Évora","PT.EV",NA,"","Distrito","District","",""
2,182,"PRT","Portugal",2,"Aveiro","PT.AV",NA,"01","Distrito","District","",""
3,182,"PRT","Portugal",3,"Azores","PT.AC",NA,"","Regiões autônoma","'Autonomous Region'","","Açores"
4,182,"PRT","Portugal",4,"Beja","PT.BE",NA,"02","Distrito","District","",""
5,182,"PRT","Portugal",5,"Braga","PT.BR",NA,"03","Distrito","District","",""
6,182,"PRT","Portugal",6,"Bragança","PT.BA",NA,"04","Distrito","District","","Braganza"
7,182,"PRT","Portugal",7,"Castelo Branco","PT.CB",NA,"05","Distrito","District","",""
8,182,"PRT","Portugal",8,"Coimbra","PT.CO",NA,"06","Distrito","District","",""
9,182,"PRT","Portugal",9,"Faro","PT.FA",NA,"08","Distrito","District","",""
10,182,"PRT","Portugal",10,"Guarda","PT.GU",NA,"09","Distrito","District","",""
11,182,"PRT","Portugal",11,"Leiria","PT.LE",NA,"","Distrito","District","",""
12,182,"PRT","Portugal",12,"Lisboa","PT.LI",NA,"","Distrito","District","","Lisbon|Lisbona|Lisbonne|Lissabon"
13,182,"PRT","Portugal",13,"Madeira","",NA,"","Regiões autônoma","'Autonomous Region'","",""
14,182,"PRT","Portugal",14,"Portalegre","PT.PA",NA,"","Distrito","District","",""
15,182,"PRT","Portugal",15,"Porto","PT.PO",NA,"","Distrito","District","","Oporto"
16,182,"PRT","Portugal",16,"Santarém","PT.SA",NA,"","Distrito","District","",""
17,182,"PRT","Portugal",17,"Setúbal","PT.SE",NA,"","Distrito","District","",""
18,182,"PRT","Portugal",18,"Viana do Castelo","PT.VC",NA,"","Distrito","District","","Vianna do Castello"
19,182,"PRT","Portugal",19,"Vila Real","PT.VR",NA,"","Distrito","District","","Villa Real"
20,182,"PRT","Portugal",20,"Viseu","PT.VI",NA,"","Distrito","District","","Vizeu"
