"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,182,"PRT","Portugal",1,"Évora",1,"Évora",1,"Évora (São Mamede)",NA,"","Parish","Parish","",""
2,182,"PRT","Portugal",1,"Évora",1,"Évora",2,"Évora (Santo Antão)",NA,"","Parish","Parish","",""
3,182,"PRT","Portugal",1,"Évora",1,"Évora",3,"Bacelo",NA,"","Parish","Parish","",""
4,182,"PRT","Portugal",1,"Évora",1,"Évora",4,"Canaviais",NA,"","Parish","Parish","",""
5,182,"PRT","Portugal",1,"Évora",1,"Évora",5,"Horta Das Figueiras",NA,"","Parish","Parish","",""
6,182,"PRT","Portugal",1,"Évora",1,"Évora",6,"Malagueira",NA,"","Parish","Parish","",""
7,182,"PRT","Portugal",1,"Évora",1,"Évora",7,"Nossa Senhora Da Boa Fé",NA,"","Parish","Parish","",""
8,182,"PRT","Portugal",1,"Évora",1,"Évora",8,"Nossa Senhora Da Graça Do Divor",NA,"","Parish","Parish","",""
9,182,"PRT","Portugal",1,"Évora",1,"Évora",9,"Nossa Senhora Da Tourega",NA,"","Parish","Parish","",""
10,182,"PRT","Portugal",1,"Évora",1,"Évora",10,"Nossa Senhora De Guadalupe",NA,"","Parish","Parish","",""
11,182,"PRT","Portugal",1,"Évora",1,"Évora",11,"Nossa Senhora De Machede",NA,"","Parish","Parish","",""
12,182,"PRT","Portugal",1,"Évora",1,"Évora",12,"São Bento Do Mato",NA,"","Parish","Parish","",""
13,182,"PRT","Portugal",1,"Évora",1,"Évora",13,"São Manços",NA,"","Parish","Parish","",""
14,182,"PRT","Portugal",1,"Évora",1,"Évora",14,"São Miguel De Machede",NA,"","Parish","Parish","",""
15,182,"PRT","Portugal",1,"Évora",1,"Évora",15,"São Sebastião Da Giesteira",NA,"","Parish","Parish","",""
16,182,"PRT","Portugal",1,"Évora",1,"Évora",16,"São Vicente Do Pigeiro",NA,"","Parish","Parish","",""
17,182,"PRT","Portugal",1,"Évora",1,"Évora",17,"Sé E São Pedro",NA,"","Parish","Parish","",""
18,182,"PRT","Portugal",1,"Évora",1,"Évora",18,"Senhora Da Saúde",NA,"","Parish","Parish","",""
19,182,"PRT","Portugal",1,"Évora",1,"Évora",19,"Torre De Coelheiros",NA,"","Parish","Parish","",""
20,182,"PRT","Portugal",1,"Évora",2,"Alandroal",20,"Alandroal (Nossa Senhora Da Conceição)",NA,"","Parish","Parish","",""
21,182,"PRT","Portugal",1,"Évora",2,"Alandroal",21,"Capelins (Santo António)",NA,"","Parish","Parish","",""
22,182,"PRT","Portugal",1,"Évora",2,"Alandroal",22,"Juromenha (Nossa Senhora Do Loreto)",NA,"","Parish","Parish","",""
23,182,"PRT","Portugal",1,"Évora",2,"Alandroal",23,"São Brás Dos Matos (Mina Do Bugalho)",NA,"","Parish","Parish","",""
24,182,"PRT","Portugal",1,"Évora",2,"Alandroal",24,"Santiago Maior",NA,"","Parish","Parish","",""
25,182,"PRT","Portugal",1,"Évora",2,"Alandroal",25,"Terena (São Pedro)",NA,"","Parish","Parish","",""
26,182,"PRT","Portugal",1,"Évora",3,"Arraiolos",26,"Arraiolos",NA,"","Parish","Parish","",""
27,182,"PRT","Portugal",1,"Évora",3,"Arraiolos",27,"Gafanhoeira (São Pedro)",NA,"","Parish","Parish","",""
28,182,"PRT","Portugal",1,"Évora",3,"Arraiolos",28,"Igrejinha",NA,"","Parish","Parish","",""
29,182,"PRT","Portugal",1,"Évora",3,"Arraiolos",29,"São Gregório",NA,"","Parish","Parish","",""
30,182,"PRT","Portugal",1,"Évora",3,"Arraiolos",30,"Sabugueiro",NA,"","Parish","Parish","",""
31,182,"PRT","Portugal",1,"Évora",3,"Arraiolos",31,"Santa Justa",NA,"","Parish","Parish","",""
32,182,"PRT","Portugal",1,"Évora",3,"Arraiolos",32,"Vimieiro",NA,"","Parish","Parish","",""
33,182,"PRT","Portugal",1,"Évora",4,"Borba",33,"Borba (Matriz)",NA,"","Parish","Parish","",""
34,182,"PRT","Portugal",1,"Évora",4,"Borba",34,"Borba (São Bartolomeu)",NA,"","Parish","Parish","",""
35,182,"PRT","Portugal",1,"Évora",4,"Borba",35,"Orada",NA,"","Parish","Parish","",""
36,182,"PRT","Portugal",1,"Évora",4,"Borba",36,"Rio De Moinhos",NA,"","Parish","Parish","",""
37,182,"PRT","Portugal",1,"Évora",5,"Estremoz",37,"Évora Monte (Santa Maria)",NA,"","Parish","Parish","",""
38,182,"PRT","Portugal",1,"Évora",5,"Estremoz",38,"Arcos",NA,"","Parish","Parish","",""
39,182,"PRT","Portugal",1,"Évora",5,"Estremoz",39,"Estremoz (Santa Maria)",NA,"","Parish","Parish","",""
40,182,"PRT","Portugal",1,"Évora",5,"Estremoz",40,"Estremoz (Santo André)",NA,"","Parish","Parish","",""
41,182,"PRT","Portugal",1,"Évora",5,"Estremoz",41,"Glória",NA,"","Parish","Parish","",""
42,182,"PRT","Portugal",1,"Évora",5,"Estremoz",42,"São Bento De Ana Loura",NA,"","Parish","Parish","",""
43,182,"PRT","Portugal",1,"Évora",5,"Estremoz",43,"São Bento Do Ameixial",NA,"","Parish","Parish","",""
44,182,"PRT","Portugal",1,"Évora",5,"Estremoz",44,"São Bento Do Cortiço",NA,"","Parish","Parish","",""
45,182,"PRT","Portugal",1,"Évora",5,"Estremoz",45,"São Domingos De Ana Loura",NA,"","Parish","Parish","",""
46,182,"PRT","Portugal",1,"Évora",5,"Estremoz",46,"São Lourenço De Mamporcão",NA,"","Parish","Parish","",""
47,182,"PRT","Portugal",1,"Évora",5,"Estremoz",47,"Santa Vitória Do Ameixial",NA,"","Parish","Parish","",""
48,182,"PRT","Portugal",1,"Évora",5,"Estremoz",48,"Santo Estêvão",NA,"","Parish","Parish","",""
49,182,"PRT","Portugal",1,"Évora",5,"Estremoz",49,"Veiros",NA,"","Parish","Parish","",""
50,182,"PRT","Portugal",1,"Évora",6,"Montemor-o-Novo",50,"Cabrela",NA,"","Parish","Parish","",""
51,182,"PRT","Portugal",1,"Évora",6,"Montemor-o-Novo",51,"Ciborro",NA,"","Parish","Parish","",""
52,182,"PRT","Portugal",1,"Évora",6,"Montemor-o-Novo",52,"Cortiçadas De Lavre",NA,"","Parish","Parish","",""
53,182,"PRT","Portugal",1,"Évora",6,"Montemor-o-Novo",53,"Foros De Vale De Figueira",NA,"","Parish","Parish","",""
54,182,"PRT","Portugal",1,"Évora",6,"Montemor-o-Novo",54,"Lavre",NA,"","Parish","Parish","",""
55,182,"PRT","Portugal",1,"Évora",6,"Montemor-o-Novo",55,"Nossa Senhora Da Vila",NA,"","Parish","Parish","",""
56,182,"PRT","Portugal",1,"Évora",6,"Montemor-o-Novo",56,"Nossa Senhora Do Bispo",NA,"","Parish","Parish","",""
57,182,"PRT","Portugal",1,"Évora",6,"Montemor-o-Novo",57,"São Cristóvão",NA,"","Parish","Parish","",""
58,182,"PRT","Portugal",1,"Évora",6,"Montemor-o-Novo",58,"Santiago Do Escoural",NA,"","Parish","Parish","",""
59,182,"PRT","Portugal",1,"Évora",6,"Montemor-o-Novo",59,"Silveiras",NA,"","Parish","Parish","",""
60,182,"PRT","Portugal",1,"Évora",7,"Mora",60,"Brotas",NA,"","Parish","Parish","",""
61,182,"PRT","Portugal",1,"Évora",7,"Mora",61,"Cabeção",NA,"","Parish","Parish","",""
62,182,"PRT","Portugal",1,"Évora",7,"Mora",62,"Mora",NA,"","Parish","Parish","",""
63,182,"PRT","Portugal",1,"Évora",7,"Mora",63,"Pavia",NA,"","Parish","Parish","",""
